integration_id,uniqueID,drugName,condition,rating,symptoms_extracted,review_clean,reference_summary,bart_summary,rouge1_precision,rouge1_recall,rouge1_f1,rouge2_precision,rouge2_recall,rouge2_f1,rougeL_precision,rougeL_recall,rougeL_f1
1,225306,Bupropion,Anxiety,8,['generalized anxiety and depression'],"I was diagnosed with Generalized Anxiety and Depression after some very traumatic events. I was first put on Prozac and two months in I knew it wasn't for me. Flatline and impossible to have an orgasm. Next was Remeron which made me so exhausted but helped somewhat with anxiety before bed. My new pdoc suggested Wellbutrin. I did research and was afraid to take it. It sat in my drawer for three months. Things got so bad, I would wake up in dread, crying, worried nonstop, so I started it. 150XL in morning for two weeks. I was completely surprised that I had no side effects and was feeling it almost from day one. It was as if the worry disappeared, replaced by a feeling that everything is going to work out. Up to 300 now, great results.",The patient reports no side effects from Wellbutrin and substantial improvement in anxiety and persistent worry after starting treatment.,I was diagnosed with Generalized Anxiety and Depression after some very traumatic events. I was first put on Prozac and two months in I knew it wasn't for me. Next was Remeron which made me so exhausted but helped somewhat with anxiety before bed. My new pdoc suggested Wellbutrin.,0.12,0.3157894736842105,0.17391304347826086,0.02040816326530612,0.05555555555555555,0.029850746268656716,0.06,0.15789473684210525,0.08695652173913043
2,177886,Duloxetine,Depression,10,['anxiety & depression'],"This is wonderful. I suffered from generalized anxiety for two and a half years. Eventually I slipped into severe depression, probably resulting from the chronic anxiety I was dealing with for so long. I have been on Cymbalta 60mg for a little over a month and I feel better than I ever have before. Before Cymbalta, I was on Paxil and Lexapro, which both did more harm than good. On Cymbalta I finally feel normal and my sleep has improved so much. I was a chronic insomniac and now I can usually sleep whenever I feel like it. I am so lucky that my psychiatrist decided to try me on this medicine. I would recommend trying this medicine to anyone suffering from anxiety & depression.",The patient reports improved mood and sleep with Cymbalta after Paxil and Lexapro had worsened their condition.,I suffered from generalized anxiety for two and a half years. I have been on Cymbalta 60mg for a little over a month and I feel better than I ever have before. I would recommend trying this medicine to anyone suffering from anxiety & depression.,0.06818181818181818,0.17647058823529413,0.09836065573770492,0.0,0.0,0.0,0.06818181818181818,0.17647058823529413,0.09836065573770492
3,172789,Clonazepam,Anxiety,10,['generalized anxiety disorder'],"I take 2mg Klonopin 4-5 times daily along with Adderall XR 20mg 2 each morning. The combination of the two works great. I suffer from BiPolar disorder, Panic Disorder with Agoraphobia, Generalized Anxiety Disorder and ADHD. I would get so bad I would lock myself in my room at home and cry my eyeballs out, afraid to speak to people, just full blown terrible anxiety. Klonopin is very effective if taken properly. Its a miracle medicine. I used to just be on Xanax 1mg 5 times daily and it started making me angry and aggressive. Some people react different to medications. Klonopin controls my mood, stops the worst anxiety you ever experienced in its tracks. Wonderful medication with just drowsiness as a side effect.","The patient reports that Klonopin effectively controls severe anxiety and mood symptoms, with drowsiness as the only stated side effect.","I take 2mg Klonopin 4-5 times daily along with Adderall XR 20mg 2 each morning. I suffer from BiPolar disorder, Panic Disorder with Agoraphobia, Generalized Anxiety Disorder and ADHD.",0.13333333333333333,0.2,0.16,0.0,0.0,0.0,0.1,0.15,0.12
4,65901,Propranolol,Anxiety,10,['anxiety/panic'],"Anxiety/Panic attacks for a year or so. Fear of the fear made my brain expect an episode in virtually every situation with friends/family/strangers you name it. 80mg SR stopped my physical symptoms - shaking, tingling fingers, heart pumping which in turn stopped my brain from racing and expecting the attack. Life changer. Thank you so much. I'm back!!!!!","The patient reports that propranolol reduced shaking, tingling, rapid heartbeat, racing thoughts, and panic symptoms.",Anxiety/Panic attacks for a year or so. Fear of the fear made my brain expect an episode. 80mg SR stopped my physical symptoms.,0.125,0.2,0.15384615384615385,0.0,0.0,0.0,0.08333333333333333,0.13333333333333333,0.10256410256410255
5,168981,Vilazodone,Depression,1,['diarrhea'],"I developed Serotonin Syndrome. Diarrhea (to the point of leaking), drowsiness, increased body temp, very blurry vision, looked & felt drunk, bloating, weight gain, dry eyes, red bumps on face, feverish, felt like I was getting the flu, gas, heartburn, craved sweets, no concentration or focus, forgetful, clumsy, insomnia, etc. Four symptoms showed up during the first week on 10 mg, the rest showed up during the second week (20 mg). I've been on many anti-depressants over the past 17 years (Zoloft, Effexor, Lexapro & Wellbutrin XR worked the best) but they would all eventually lose their effect. The only other time I've ever felt this bad in relation to a medicine was when I was going OFF of Lexapro. Viibryd is a ""no"" for me!!","The patient reports severe diarrhea, drowsiness, feverishness, blurred vision, weight gain, insomnia, poor concentration, and multiple other adverse effects while taking Viibryd.","Diarrhea (to the point of leaking), drowsiness, increased body temp, very blurry vision, looked & felt drunk, bloating, weight gain, dry eyes, red bumps on face, feverish.",0.2692307692307692,0.3181818181818182,0.2916666666666667,0.04,0.047619047619047616,0.043478260869565216,0.19230769230769232,0.22727272727272727,0.20833333333333331
6,132202,Ativan,Anxiety,10,['anxiety &'],I have chronic fatigue syndrome and fibromyalgia along with all the other issues that come with it. Anxiety & stress easily are two of the things. Ativan over Xanax for me big time for some reason Xanax would make my ankles swell? Then I tried Ativan and it worked great I put under my tongue and it melts under there and helps me within 15 minutes. I can go some weeks/months without ever taking it and then If I have a bad issue with the family or a panic attack from a flare it works fabulous. The most I've had to take it was 10 days in a row. I've had a prescription since 2004 and it's 2016 I get 30 1.mg a month. I don't use them all but I do get a refill every couple months just to have some on hand.,"The patient reports ankle swelling with Xanax, while Ativan relieved anxiety and panic symptoms within about 15 minutes.",I have chronic fatigue syndrome and fibromyalgia along with all the other issues that come with it. Ativan over Xanax for me big time for some reason Xanax would make my ankles swell? Then I tried Ativan and it worked great I put under my tongue and it melts under there and helps,0.1320754716981132,0.3888888888888889,0.19718309859154928,0.019230769230769232,0.058823529411764705,0.028985507246376815,0.09433962264150944,0.2777777777777778,0.14084507042253522
7,201425,Zoloft,Depression,10,['generalized anxiety disorder'],"I was diagnosed with Generalized Anxiety Disorder, severe depression and OCD when I was around 18 years old. I couldn't do anything and shut down. I went to a mental hospital to take classes on how to cope and I began trying different types of SSRI's. I tried two others and I felt horrible on them both then I tried Zoloft. My mom made me stick with it even though I was skeptical. I started with 25, 50, then to 75 ml. Nothing helped. As soon as I went up to 100 ml is when I felt my life coming back. I could feel emotions of happiness, and felt like life had finally had a meaning to it. I was able to be okay again and felt like this medicine saved my life. The thing that is hardest is all the people judging saying ""you're on so many Meds",The patient reports feeling worse on two previous SSRIs but experiencing major improvement in mood and daily functioning after increasing Zoloft to 100 mg.,"I was diagnosed with Generalized Anxiety Disorder, severe depression and OCD when I was around 18 years old. I went to a mental hospital to take classes on how to cope and I began trying different types of SSRI's. I tried two others and I felt horrible on them both then I tried Zol",0.09090909090909091,0.20833333333333334,0.12658227848101267,0.0,0.0,0.0,0.05454545454545454,0.125,0.0759493670886076
8,142085,Escitalopram,Depression,10,['depression and anxiety'],"After battling the social stigma of admitting that I suffer from Depression and Anxiety, I researched on the internet and talked with my Medical Dr. about getting on Lexapro for my depression and Anxiety. However, I realized that there is about a 4 week window before the effects occur,,,, so if you are new to it like me and have anxiety,,,, I would consider requesting your dr. to put you on a short term Anxiety medication,,,, In my case, I went with Xanax, which seems ok,,,, so far....",The patient reports that Lexapro may take about four weeks to become effective and used short-term Xanax for anxiety during that period.,"After battling the social stigma of admitting that I suffer from Depression and Anxiety, I researched on the internet and talked with my Medical Dr. about getting on Lexapro for my depression and Anxiety. There is about a 4 week window before the effects occur, so if you are new to it like me and",0.18181818181818182,0.43478260869565216,0.25641025641025644,0.0,0.0,0.0,0.12727272727272726,0.30434782608695654,0.1794871794871795
9,61574,Citalopram,Depression,8,['lethargy/fatigue loss of'],I have been taking 50mg of Citalopram daily for about two years now for GAD and depression and have made a significant improvement in all aspects of my life. I have however experienced several side effects: Lethargy/Fatigue Loss of Concentration Memory Loss Yawning Nightmares Increased Sweating Insomnia Augmented Essential Tremor I think the overall efficacy of the drug outweighs the relatively minor side effects.,"The patient reports improved anxiety and depression with citalopram but experienced fatigue, poor concentration, memory loss, yawning, nightmares, sweating, insomnia, and worsened tremor.",I have been taking 50mg of Citalopram daily for about two years now for GAD and depression and have made a significant improvement in all aspects of my life. I have however experienced several side effects: Lethargy/Fatigue Loss of Concentration Memory Loss Yawning Nightmares Increased Swe,0.2553191489361702,0.5217391304347826,0.3428571428571428,0.10869565217391304,0.22727272727272727,0.14705882352941177,0.19148936170212766,0.391304347826087,0.2571428571428572
10,182660,Cymbalta,Depression,1,['ptsd & anxiety & migraines'],"I took my first dose of generic Cymbalta last night of 60 milligrams. It's now 5:47 PM & I've not eaten all day due to the severe nausea. I'm also very jittery, anxious, have a super, really bad headache (I'm also prone to migraines.), & my tinnitus is worse in my left ear. I also have slept most of the day, besides. I have depression & mild PTSD & anxiety & migraines, I've been on other anti-depressants before. Prozac increased my migraines the last time. I think this generic of Cymbalta won't be for me.","The patient reports severe nausea, jitteriness, anxiety, headache, worsened tinnitus, and excessive sleepiness after the first 60 mg dose of generic Cymbalta.","I took my first dose of generic Cymbalta last night of 60 milligrams. It's now 5:47 PM & I've not eaten all day due to the severe nausea. I'm also very jittery, anxious, have a super, really bad headache (I'm also prone",0.2391304347826087,0.5,0.3235294117647059,0.08888888888888889,0.19047619047619047,0.12121212121212122,0.10869565217391304,0.22727272727272727,0.14705882352941177
