integration_id,uniqueID,drugName,condition,rating,ae_flag,ae_label,ae_probabilities,symptoms_extracted,symptom_clusters,cluster_id,review_clean,bart_summary,bart_inference_seconds,bart_compression_ratio
1,225306,Bupropion,Anxiety,8,1,0,"[0.6674659252166748, 0.025020664557814598, 0.30751341581344604]",['generalized anxiety and depression'],"[{'symptom': 'generalized anxiety and depression', 'cluster': 1}]",1.0,"I was diagnosed with Generalized Anxiety and Depression after some very traumatic events. I was first put on Prozac and two months in I knew it wasn't for me. Flatline and impossible to have an orgasm. Next was Remeron which made me so exhausted but helped somewhat with anxiety before bed. My new pdoc suggested Wellbutrin. I did research and was afraid to take it. It sat in my drawer for three months. Things got so bad, I would wake up in dread, crying, worried nonstop, so I started it. 150XL in morning for two weeks. I was completely surprised that I had no side effects and was feeling it almost from day one. It was as if the worry disappeared, replaced by a feeling that everything is going to work out. Up to 300 now, great results.",I was diagnosed with Generalized Anxiety and Depression after some very traumatic events. I was first put on Prozac and two months in I knew it wasn't for me. Next was Remeron which made me so exhausted but helped somewhat with anxiety before bed. My new pdoc suggested Wellbutrin.,5.346435100000008,0.35507246376811596
2,177886,Duloxetine,Depression,10,1,0,"[0.553102433681488, 0.025957169011235237, 0.42094045877456665]",['anxiety & depression'],"[{'symptom': 'anxiety & depression', 'cluster': 1}, {'symptom': 'anxiety & depression', 'cluster': 1}, {'symptom': 'anxiety & depression', 'cluster': 1}, {'symptom': 'anxiety & depression', 'cluster': 1}, {'symptom': 'anxiety & depression', 'cluster': 1}, {'symptom': 'anxiety & depression', 'cluster': 1}]",1.0,"This is wonderful. I suffered from generalized anxiety for two and a half years. Eventually I slipped into severe depression, probably resulting from the chronic anxiety I was dealing with for so long. I have been on Cymbalta 60mg for a little over a month and I feel better than I ever have before. Before Cymbalta, I was on Paxil and Lexapro, which both did more harm than good. On Cymbalta I finally feel normal and my sleep has improved so much. I was a chronic insomniac and now I can usually sleep whenever I feel like it. I am so lucky that my psychiatrist decided to try me on this medicine. I would recommend trying this medicine to anyone suffering from anxiety & depression.",I suffered from generalized anxiety for two and a half years. I have been on Cymbalta 60mg for a little over a month and I feel better than I ever have before. I would recommend trying this medicine to anyone suffering from anxiety & depression.,1.476990510000178,0.36
3,172789,Clonazepam,Anxiety,10,1,0,"[0.6853681206703186, 0.025687582790851593, 0.28894421458244324]",['generalized anxiety disorder'],"[{'symptom': 'generalized anxiety disorder', 'cluster': 2}, {'symptom': 'generalized anxiety disorder', 'cluster': 2}, {'symptom': 'generalized anxiety disorder', 'cluster': 2}, {'symptom': 'generalized anxiety disorder', 'cluster': 2}, {'symptom': 'generalized anxiety disorder', 'cluster': 2}, {'symptom': 'generalized anxiety disorder', 'cluster': 2}, {'symptom': 'generalized anxiety disorder', 'cluster': 2}, {'symptom': 'generalized anxiety disorder', 'cluster': 2}, {'symptom': 'generalized anxiety disorder', 'cluster': 2}, {'symptom': 'generalized anxiety disorder', 'cluster': 2}, {'symptom': 'generalized anxiety disorder', 'cluster': 2}, {'symptom': 'generalized anxiety disorder', 'cluster': 2}, {'symptom': 'generalized anxiety disorder', 'cluster': 2}, {'symptom': 'generalized anxiety disorder', 'cluster': 2}, {'symptom': 'generalized anxiety disorder', 'cluster': 2}, {'symptom': 'generalized anxiety disorder', 'cluster': 2}, {'symptom': 'generalized anxiety disorder', 'cluster': 2}, {'symptom': 'generalized anxiety disorder', 'cluster': 2}, {'symptom': 'generalized anxiety disorder', 'cluster': 2}, {'symptom': 'generalized anxiety disorder', 'cluster': 2}, {'symptom': 'generalized anxiety disorder', 'cluster': 2}, {'symptom': 'generalized anxiety disorder', 'cluster': 2}, {'symptom': 'generalized anxiety disorder', 'cluster': 2}, {'symptom': 'generalized anxiety disorder', 'cluster': 2}, {'symptom': 'generalized anxiety disorder', 'cluster': 2}]",2.0,"I take 2mg Klonopin 4-5 times daily along with Adderall XR 20mg 2 each morning. The combination of the two works great. I suffer from BiPolar disorder, Panic Disorder with Agoraphobia, Generalized Anxiety Disorder and ADHD. I would get so bad I would lock myself in my room at home and cry my eyeballs out, afraid to speak to people, just full blown terrible anxiety. Klonopin is very effective if taken properly. Its a miracle medicine. I used to just be on Xanax 1mg 5 times daily and it started making me angry and aggressive. Some people react different to medications. Klonopin controls my mood, stops the worst anxiety you ever experienced in its tracks. Wonderful medication with just drowsiness as a side effect.","I take 2mg Klonopin 4-5 times daily along with Adderall XR 20mg 2 each morning. I suffer from BiPolar disorder, Panic Disorder with Agoraphobia, Generalized Anxiety Disorder and ADHD.",0.8907724849998431,0.23387096774193547
4,65901,Propranolol,Anxiety,10,1,0,"[0.7163786292076111, 0.025188682600855827, 0.2584327161312103]",['anxiety/panic'],"[{'symptom': 'anxiety/panic', 'cluster': 2}, {'symptom': 'anxiety/panic', 'cluster': 2}]",2.0,"Anxiety/Panic attacks for a year or so. Fear of the fear made my brain expect an episode in virtually every situation with friends/family/strangers you name it. 80mg SR stopped my physical symptoms - shaking, tingling fingers, heart pumping which in turn stopped my brain from racing and expecting the attack. Life changer. Thank you so much. I'm back!!!!!",Anxiety/Panic attacks for a year or so. Fear of the fear made my brain expect an episode. 80mg SR stopped my physical symptoms.,0.5951811039999484,0.39655172413793105
5,168981,Vilazodone,Depression,1,1,0,"[0.6241920590400696, 0.02617396041750908, 0.34963399171829224]",['diarrhea'],"[{'symptom': 'diarrhea', 'cluster': 4}, {'symptom': 'diarrhea', 'cluster': 4}, {'symptom': 'diarrhea', 'cluster': 4}, {'symptom': 'diarrhea', 'cluster': 4}, {'symptom': 'diarrhea', 'cluster': 4}, {'symptom': 'diarrhea', 'cluster': 4}, {'symptom': 'diarrhea', 'cluster': 4}, {'symptom': 'diarrhea', 'cluster': 4}, {'symptom': 'diarrhea', 'cluster': 4}]",4.0,"I developed Serotonin Syndrome. Diarrhea (to the point of leaking), drowsiness, increased body temp, very blurry vision, looked & felt drunk, bloating, weight gain, dry eyes, red bumps on face, feverish, felt like I was getting the flu, gas, heartburn, craved sweets, no concentration or focus, forgetful, clumsy, insomnia, etc. Four symptoms showed up during the first week on 10 mg, the rest showed up during the second week (20 mg). I've been on many anti-depressants over the past 17 years (Zoloft, Effexor, Lexapro & Wellbutrin XR worked the best) but they would all eventually lose their effect. The only other time I've ever felt this bad in relation to a medicine was when I was going OFF of Lexapro. Viibryd is a ""no"" for me!!","Diarrhea (to the point of leaking), drowsiness, increased body temp, very blurry vision, looked & felt drunk, bloating, weight gain, dry eyes, red bumps on face, feverish.",0.7244065349998436,0.21428571428571427
6,132202,Ativan,Anxiety,10,1,0,"[0.5337705016136169, 0.026488926261663437, 0.4397405683994293]",['anxiety &'],"[{'symptom': 'anxiety &', 'cluster': 1}, {'symptom': 'anxiety &', 'cluster': 1}, {'symptom': 'anxiety &', 'cluster': 1}]",1.0,I have chronic fatigue syndrome and fibromyalgia along with all the other issues that come with it. Anxiety & stress easily are two of the things. Ativan over Xanax for me big time for some reason Xanax would make my ankles swell? Then I tried Ativan and it worked great I put under my tongue and it melts under there and helps me within 15 minutes. I can go some weeks/months without ever taking it and then If I have a bad issue with the family or a panic attack from a flare it works fabulous. The most I've had to take it was 10 days in a row. I've had a prescription since 2004 and it's 2016 I get 30 1.mg a month. I don't use them all but I do get a refill every couple months just to have some on hand.,I have chronic fatigue syndrome and fibromyalgia along with all the other issues that come with it. Ativan over Xanax for me big time for some reason Xanax would make my ankles swell? Then I tried Ativan and it worked great I put under my tongue and it melts under there and helps,0.9457436019999932,0.3680555555555556
7,201425,Zoloft,Depression,10,1,0,"[0.5116280317306519, 0.029992690309882164, 0.45837920904159546]",['generalized anxiety disorder'],"[{'symptom': 'generalized anxiety disorder', 'cluster': 2}, {'symptom': 'generalized anxiety disorder', 'cluster': 2}, {'symptom': 'generalized anxiety disorder', 'cluster': 2}, {'symptom': 'generalized anxiety disorder', 'cluster': 2}, {'symptom': 'generalized anxiety disorder', 'cluster': 2}, {'symptom': 'generalized anxiety disorder', 'cluster': 2}, {'symptom': 'generalized anxiety disorder', 'cluster': 2}, {'symptom': 'generalized anxiety disorder', 'cluster': 2}, {'symptom': 'generalized anxiety disorder', 'cluster': 2}, {'symptom': 'generalized anxiety disorder', 'cluster': 2}, {'symptom': 'generalized anxiety disorder', 'cluster': 2}, {'symptom': 'generalized anxiety disorder', 'cluster': 2}, {'symptom': 'generalized anxiety disorder', 'cluster': 2}, {'symptom': 'generalized anxiety disorder', 'cluster': 2}, {'symptom': 'generalized anxiety disorder', 'cluster': 2}, {'symptom': 'generalized anxiety disorder', 'cluster': 2}, {'symptom': 'generalized anxiety disorder', 'cluster': 2}, {'symptom': 'generalized anxiety disorder', 'cluster': 2}, {'symptom': 'generalized anxiety disorder', 'cluster': 2}, {'symptom': 'generalized anxiety disorder', 'cluster': 2}, {'symptom': 'generalized anxiety disorder', 'cluster': 2}, {'symptom': 'generalized anxiety disorder', 'cluster': 2}, {'symptom': 'generalized anxiety disorder', 'cluster': 2}, {'symptom': 'generalized anxiety disorder', 'cluster': 2}, {'symptom': 'generalized anxiety disorder', 'cluster': 2}]",2.0,"I was diagnosed with Generalized Anxiety Disorder, severe depression and OCD when I was around 18 years old. I couldn't do anything and shut down. I went to a mental hospital to take classes on how to cope and I began trying different types of SSRI's. I tried two others and I felt horrible on them both then I tried Zoloft. My mom made me stick with it even though I was skeptical. I started with 25, 50, then to 75 ml. Nothing helped. As soon as I went up to 100 ml is when I felt my life coming back. I could feel emotions of happiness, and felt like life had finally had a meaning to it. I was able to be okay again and felt like this medicine saved my life. The thing that is hardest is all the people judging saying ""you're on so many Meds","I was diagnosed with Generalized Anxiety Disorder, severe depression and OCD when I was around 18 years old. I went to a mental hospital to take classes on how to cope and I began trying different types of SSRI's. I tried two others and I felt horrible on them both then I tried Zol",0.9418382540000039,0.3624161073825503
8,142085,Escitalopram,Depression,10,1,0,"[0.7095317244529724, 0.02578890137374401, 0.2646794021129608]",['depression and anxiety'],"[{'symptom': 'depression and anxiety', 'cluster': 1}, {'symptom': 'depression and anxiety', 'cluster': 1}, {'symptom': 'depression and anxiety', 'cluster': 1}, {'symptom': 'depression and anxiety', 'cluster': 1}, {'symptom': 'depression and anxiety', 'cluster': 1}, {'symptom': 'depression and anxiety', 'cluster': 1}]",1.0,"After battling the social stigma of admitting that I suffer from Depression and Anxiety, I researched on the internet and talked with my Medical Dr. about getting on Lexapro for my depression and Anxiety. However, I realized that there is about a 4 week window before the effects occur,,,, so if you are new to it like me and have anxiety,,,, I would consider requesting your dr. to put you on a short term Anxiety medication,,,, In my case, I went with Xanax, which seems ok,,,, so far....","After battling the social stigma of admitting that I suffer from Depression and Anxiety, I researched on the internet and talked with my Medical Dr. about getting on Lexapro for my depression and Anxiety. There is about a 4 week window before the effects occur, so if you are new to it like me and",1.0741027429999122,0.625
9,61574,Citalopram,Depression,8,1,0,"[0.5332585573196411, 0.027856234461069107, 0.43888524174690247]",['lethargy/fatigue loss of'],"[{'symptom': 'lethargy/fatigue loss of', 'cluster': 0}]",0.0,I have been taking 50mg of Citalopram daily for about two years now for GAD and depression and have made a significant improvement in all aspects of my life. I have however experienced several side effects: Lethargy/Fatigue Loss of Concentration Memory Loss Yawning Nightmares Increased Sweating Insomnia Augmented Essential Tremor I think the overall efficacy of the drug outweighs the relatively minor side effects.,I have been taking 50mg of Citalopram daily for about two years now for GAD and depression and have made a significant improvement in all aspects of my life. I have however experienced several side effects: Lethargy/Fatigue Loss of Concentration Memory Loss Yawning Nightmares Increased Swe,1.1758350479999535,0.71875
10,182660,Cymbalta,Depression,1,1,0,"[0.7331420183181763, 0.02311243675649166, 0.2437456250190735]",['ptsd & anxiety & migraines'],"[{'symptom': 'ptsd & anxiety & migraines', 'cluster': 1}]",1.0,"I took my first dose of generic Cymbalta last night of 60 milligrams. It's now 5:47 PM & I've not eaten all day due to the severe nausea. I'm also very jittery, anxious, have a super, really bad headache (I'm also prone to migraines.), & my tinnitus is worse in my left ear. I also have slept most of the day, besides. I have depression & mild PTSD & anxiety & migraines, I've been on other anti-depressants before. Prozac increased my migraines the last time. I think this generic of Cymbalta won't be for me.","I took my first dose of generic Cymbalta last night of 60 milligrams. It's now 5:47 PM & I've not eaten all day due to the severe nausea. I'm also very jittery, anxious, have a super, really bad headache (I'm also prone",1.2116884740000842,0.4421052631578947
